Appartement,Bedrag,Breukdelen
A-40,3754.08,120
A-41,3754.08,120
A-42,3754.08,120
A-43,3754.08,120
A-44,3754.08,120
A-45,5787.55,185
A-46,5005.45,160
A-47,4379.77,140
A-48,4849.03,155
A-49,4379.77,140
A-50,4849.03,155
A-51,4379.77,140
A-52,4849.03,155
A-53,4379.77,140
A-54,4849.03,155
A-55,4379.77,140
A-56,4849.03,155
A-57,4379.77,140
A-58,4849.03,155
A-59,4379.77,140
A-60,4849.03,155
A-61,4379.77,140
A-62,4849.03,155
A-63,4379.77,140
A-64,4849.03,155
A-65,4379.77,140
A-66,4849.03,155
A-67,4379.77,140
A-68,4849.03,155
A-69,4379.77,140
A-70,4849.03,155
A-71,4379.77,140
A-72,4849.03,155
A-73,4379.77,140
A-74,3754.08,120
A-75,4223.35,135
A-76,3754.08,120
A-77,4223.35,135
A-78,3754.08,120
A-79,4223.35,135
A-80,3754.08,120
A-81,4223.35,135
A-82,3754.08,120
A-83,4223.35,135
A-84,3754.08,120
A-85,4223.35,135
A-86,3754.08,120
A-87,4223.35,135
A-88,8915.95,285
A-89,7664.59,245
A-90,7664.59,245
A-91,7664.59,245
A-92,7664.59,245
A-93,375.41,12
A-94,375.41,12
A-95,375.41,12
