Index,Split_Number,Address,Type,Votes,Breukdelen,Eigen,Payment_Year,Payment_Month,Extra,Total_Breukdelen,Total_Votes
1,A-40,335.0,Appartement,10.0,120.0,Eigen-335,3747.189608,312.2658006,312.27,120.0,10.0
2,A-41,349.0,Appartement,10.0,120.0,Eigen-349,3747.189608,312.2658006,312.27,120.0,10.0
3,A-42,365.0,Appartement,10.0,120.0,Eigen-365,3747.189608,312.2658006,312.27,120.0,10.0
4,A-43,381.0,Appartement,10.0,120.0,Eigen-381,3747.189608,312.2658006,312.27,120.0,10.0
5,A-44,397.0,Appartement,10.0,120.0,Eigen-397,3747.189608,312.2658006,312.27,120.0,10.0
6,A-45,413.0,Appartement,10.0,185.0,Eigen-413,5776.917312,481.409776,481.41,185.0,10.0
7,A-46,323.0,Appartement,10.0,160.0,Eigen-323,4996.25281,416.3544009,416.35,160.0,10.0
8,A-47,325.0,Appartement,10.0,140.0,Eigen-325,4371.721209,364.3101008,364.31,140.0,10.0
9,A-48,337.0,Appartement,10.0,155.0,Eigen-337,4840.11991,403.3433258,403.34,155.0,10.0
10,A-49,339.0,Appartement,10.0,140.0,Eigen-339,4371.721209,364.3101008,364.31,140.0,10.0
11,A-50,351.0,Appartement,10.0,155.0,Eigen-351,4840.11991,403.3433258,403.34,155.0,10.0
12,A-51,353.0,Appartement,10.0,140.0,Eigen-353,4371.721209,364.3101008,364.31,140.0,10.0
13,A-52,367.0,Appartement,10.0,155.0,Eigen-367,4840.11991,403.3433258,403.34,155.0,10.0
14,A-53,369.0,Appartement,10.0,140.0,Eigen-369,4371.721209,364.3101008,364.31,140.0,10.0
15,A-54,383.0,Appartement,10.0,155.0,Eigen-383,4840.11991,403.3433258,403.34,155.0,10.0
16,A-55,385.0,Appartement,10.0,140.0,Eigen-385,4371.721209,364.3101008,364.31,140.0,10.0
17,A-56,399.0,Appartement,10.0,155.0,Eigen-399,4840.11991,403.3433258,403.34,155.0,10.0
18,A-57,401.0,Appartement,10.0,140.0,Eigen-401,4371.721209,364.3101008,364.31,140.0,10.0
